たけくらべ	名詞	普通名詞	一般	*	*	*	タケクラベ	丈比べ	たけくらべ	タケクラベ	タケクラベ	和	たけくらべ	タケクラベ	タケクラベ	タケクラベ	*	*	*	*	*	*	3	C1	*
裏	名詞	普通名詞	一般	*	*	*	ウラ	裏	裏	ウラ	ウラ	和	裏	ウラ	ウラ	ウラ	*	*	*	*	*	*	2	C4	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
はり	動詞	一般	*	*	文語四段-ラ行	連用形-一般	ハル	張る	はり	ハリ	ハリ	和	はる	ハル	ハル	ハル	ハ濁	基本形	*	*	*	*	0	C4	*
たる	助動詞	*	*	*	文語助動詞-タリ-完了	連体形-一般	タリ	たり-完了	たる	タル	タル	和	たり	タリ	タリ	タリ	*	*	*	*	*	*	*	"動詞%F6@1	-1	形容詞%F2@-2"	*
串	名詞	普通名詞	一般	*	*	*	クシ	串	串	クシ	クシ	和	串	クシ	クシ	クシ	ク濁	基本形	*	*	*	*	2	C4	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
さま	名詞	普通名詞	一般	*	*	*	サマ	様	さま	サマ	サマ	和	さま	サマ	サマ	サマ	サ濁	基本形	*	*	*	*	2	C3	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
をかし	形容詞	一般	*	*	文語形容詞-シク	終止形-一般	オカシイ	可笑しい	をかし	オカシ	ヲカシ	和	をかし	オカシ	ヲカシ	オカシ	*	*	*	*	*	*	1	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
一	名詞	数詞	*	*	*	*	イチ	一	一	イチ	イチ	漢	一	イチ	イチ	イチ	*	*	N1	チ促	基本形	*	2	C3	*
軒	接尾辞	名詞的	一般	*	*	*	ケン	軒	軒	ケン	ケン	漢	軒	ケン	ケン	ケン	ケ濁	基本形	*	*	*	*	*	C3	*
なら	助動詞	*	*	*	文語助動詞-ナリ-断定	未然形-一般	ナリ	なり-断定	なら	ナラ	ナラ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
ず	助動詞	*	*	*	文語助動詞-ズ	連用形-一般	ズ	ず	ず	ズ	ズ	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
二	名詞	数詞	*	*	*	*	ニ	二	二	ニ	ニ	漢	二	ニ	ニ	ニ	*	*	*	イ長添	基本形	*	1	C3	*
軒	接尾辞	名詞的	一般	*	*	*	ケン	軒	軒	ケン	ケン	漢	軒	ケン	ケン	ケン	ケ濁	基本形	*	*	*	*	*	C3	*
なら	助動詞	*	*	*	文語助動詞-ナリ-断定	未然形-一般	ナリ	なり-断定	なら	ナラ	ナラ	和	なり	ナリ	ナリ	ナリ	*	*	*	*	*	*	*	"名詞%F2@1	形容詞%F2@-1動詞%F2@0"	*
ず	助動詞	*	*	*	文語助動詞-ズ	連用形-一般	ズ	ず	ず	ズ	ズ	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
朝日	名詞	普通名詞	一般	*	*	*	アサヒ	朝日	朝日	アサヒ	アサヒ	和	朝日	アサヒ	アサヒ	アサヒ	*	*	*	*	*	*	1	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
干し	動詞	一般	*	*	文語四段-サ行	連用形-一般	ホス	干す	干し	ホシ	ホシ	和	干す	ホス	ホス	ホス	*	*	*	*	*	*	1	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
夕日	名詞	普通名詞	一般	*	*	*	ユウヒ	夕日	夕日	ユーヒ	ユウヒ	和	夕日	ユーヒ	ユウヒ	ユウヒ	*	*	*	*	*	*	0	C2	*
