舞姫	名詞	普通名詞	一般	*	*	*	マイヒメ	舞姫	舞姫	マイヒメ	マイヒメ	和	舞姫	マイヒメ	マイヒメ	マイヒメ	*	*	*	*	*	*	"0	2"	C2	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
幾千	名詞	数詞	*	*	*	*	イクセン	幾千	幾千	イクセン	イクセン	混	幾千	イクセン	イクセン	イクセン	*	*	Ns	*	*	*	1	C1	*
言	名詞	普通名詞	一般	*	*	*	ゲン	言	言	ゲン	ゲン	漢	言	ゲン	ゲン	ゲン	*	*	*	*	*	*	1	C3	*
を	助詞	格助詞	*	*	*	*	ヲ	を	を	オ	ヲ	和	を	オ	ヲ	ヲ	*	*	*	*	*	*	*	"動詞%F2@0	名詞%F1	形容詞%F2@-1"	*
か	助詞	係助詞	*	*	*	*	カ	か	か	カ	カ	和	か	カ	カ	カ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1	名詞%F1"	*
なし	動詞	一般	*	*	文語四段-サ行	連用形-一般	ナス	成す	なし	ナシ	ナシ	和	なす	ナス	ナス	ナス	*	*	*	*	*	*	1	C1	*
けむ	助動詞	*	*	*	文語助動詞-ケム	連体形-一般	ケム	けむ	けむ	ケム	ケム	和	けむ	ケム	ケム	ケム	*	*	*	*	*	*	*	動詞%F4@1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
當時	名詞	普通名詞	副詞可能	*	*	*	トウジ	当時	當時	トージ	トウジ	漢	當時	トージ	トウジ	トウジ	*	*	*	*	*	*	1	C1	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
新聞	名詞	普通名詞	一般	*	*	*	シンブン	新聞	新聞	シンブン	シンブン	漢	新聞	シンブン	シンブン	シンブン	*	*	*	*	*	*	0	C2	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
載せ	動詞	一般	*	*	文語下二段-サ行	未然形-一般	ノセル	乗せる	載せ	ノセ	ノセ	和	載す	ノス	ノス	ノス	*	*	*	*	*	*	0	C4	*
られ	助動詞	*	*	*	文語下二段-ラ行	連用形-一般	ラレル	られる	られ	ラレ	ラレ	和	らる	ラル	ラル	ラル	*	*	*	*	*	*	*	*	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
世	名詞	普通名詞	一般	*	*	*	ヨ	世	世	ヨ	ヨ	和	世	ヨ	ヨ	ヨ	*	*	*	*	*	*	"1	0"	C3	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
人	名詞	普通名詞	一般	*	*	*	ヒト	人	人	ヒト	ヒト	和	人	ヒト	ヒト	ヒト	ヒ濁	基本形	*	*	*	*	0	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
もてはやさ	動詞	一般	*	*	文語四段-サ行	未然形-一般	モテハヤス	持て囃す	もてはやさ	モテハヤサ	モテハヤサ	和	もてはやす	モテハヤス	モテハヤス	モテハヤス	*	*	*	*	*	*	"4	0"	C1	*
れ	助動詞	*	*	*	文語下二段-ラ行	連用形-一般	レル	れる	れ	レ	レ	和	る	ル	ル	ル	*	*	*	*	*	*	*	動詞%F3@0	*
しか	助動詞	*	*	*	文語助動詞-キ	已然形-一般	キ	き	しか	シカ	シカ	和	き	キ	キ	キ	*	*	*	*	*	*	*	動詞%F4@0	*
ど	助詞	接続助詞	*	*	*	*	ド	ど	ど	ド	ド	和	ど	ド	ド	ド	*	*	*	*	*	*	*	動詞%F2@0	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
今日	名詞	普通名詞	副詞可能	*	*	*	コンニチ	今日	今日	コンニチ	コンニチ	漢	今日	コンニチ	コンニチ	コンニチ	*	*	*	*	*	*	1	C1	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
なり	動詞	非自立可能	*	*	文語四段-ラ行	連用形-一般	ナル	成る	なり	ナリ	ナリ	和	なる	ナル	ナル	ナル	*	*	*	*	*	*	1	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
おもへ	動詞	一般	*	*	文語四段-ハ行	已然形-一般	オモウ	思う	おもへ	オモエ	オモヘ	和	おもふ	オモウ	オモフ	オモウ	*	*	*	*	*	*	2	C1	*
ば	助詞	接続助詞	*	*	*	*	バ	ば	ば	バ	バ	和	ば	バ	バ	バ	*	*	*	*	*	*	*	"動詞%F2@0	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
穉き	形容詞	一般	*	*	文語形容詞-ク	連体形-一般	オサナイ	幼い	穉き	オサナキ	オサナキ	和	穉し	オサナシ	オサナシ	オサナシ	*	*	*	*	*	*	3	C1	*
思想	名詞	普通名詞	一般	*	*	*	シソウ	思想	思想	シソー	シソウ	漢	思想	シソー	シソウ	シソウ	*	*	*	*	*	*	0	C2	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
身の程	名詞	普通名詞	一般	*	*	*	ミノホド	身の程	身の程	ミノホド	ミノホド	和	身の程	ミノホド	ミノホド	ミノホド	*	*	*	*	*	*	"0	4"	C2	*
知ら	動詞	一般	*	*	文語四段-ラ行	未然形-一般	シル	知る	知ら	シラ	シラ	和	知る	シル	シル	シル	*	*	*	*	*	*	0	C2	*
ぬ	助動詞	*	*	*	文語助動詞-ズ	連体形-一般	ズ	ず	ぬ	ヌ	ヌ	和	ず	ズ	ズ	ズ	*	*	*	*	*	*	*	"形容詞%F4@-1	動詞%F3@0"	*
放言	名詞	普通名詞	サ変可能	*	*	*	ホウゲン	放言	放言	ホーゲン	ホウゲン	漢	放言	ホーゲン	ホウゲン	ホウゲン	*	*	*	*	*	*	"0	3"	C2	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
