文づかひ	名詞	普通名詞	一般	*	*	*	フミヅカイ	文使い	文づかひ	フミズカイ	フミヅカヒ	和	文づかひ	フミズカイ	フミヅカヒ	フミヅカイ	*	*	*	*	*	*	3	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
まだ	副詞	*	*	*	*	*	マダ	未だ	まだ	マダ	マダ	和	まだ	マダ	マダ	マダ	*	*	*	*	*	*	1	*	*
大尉	名詞	普通名詞	一般	*	*	*	タイイ	大尉	大尉	タイイ	タイイ	漢	大尉	タイイ	タイイ	タイイ	*	*	*	*	*	*	1	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
たい	助動詞	*	*	*	助動詞-タイ	終止形-一般	タイ	たい	たい	タイ	タイ	和	たい	タイ	タイ	タイ	*	*	*	*	*	*	*	動詞%F4@1	*
い	助詞	終助詞	*	*	*	*	イ	い	い	イ	イ	和	い	イ	イ	イ	*	*	*	*	*	*	*	名詞%F2@0	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
なり	動詞	非自立可能	*	*	文語四段-ラ行	連用形-一般	ナル	成る	なり	ナリ	ナリ	和	なる	ナル	ナル	ナル	*	*	*	*	*	*	1	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
ほど	名詞	普通名詞	副詞可能	*	*	*	ホド	程	ほど	ホド	ホド	和	ほど	ホド	ホド	ホド	*	*	*	*	*	*	"0	2"	C3	*
も	助詞	係助詞	*	*	*	*	モ	も	も	モ	モ	和	も	モ	モ	モ	*	*	*	*	*	*	*	"動詞%F2@-1	形容詞%F4@-2	名詞%F1"	*
あら	動詞	非自立可能	*	*	文語ラ行変格	未然形-一般	アル	有る	あら	アラ	アラ	和	あり	アリ	アリ	アリ	*	*	*	*	*	*	1	C3	*
じ	助動詞	*	*	*	文語助動詞-ジ	終止形-一般	ジ	じ	じ	ジ	ジ	和	じ	ジ	ジ	ジ	*	*	*	*	*	*	*	動詞%F4@0	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
見ゆる	動詞	一般	*	*	文語下二段-ヤ行	連体形-一般	ミエル	見える	見ゆる	ミユル	ミユル	和	見ゆ	ミユ	ミユ	ミユ	*	*	*	*	*	*	1	C1	*
小	接頭辞	*	*	*	*	*	コ	小	小	コ	コ	和	小	コ	コ	コ	*	*	*	*	*	*	*	P2	*
林	名詞	普通名詞	一般	*	*	*	ハヤシ	林	林	ハヤシ	ハヤシ	和	林	ハヤシ	ハヤシ	ハヤシ	ハ濁	基本形	*	*	*	*	"0	3"	C2	*
と	助詞	格助詞	*	*	*	*	ト	と	と	ト	ト	和	と	ト	ト	ト	*	*	*	*	*	*	*	"名詞%F1	動詞%F1	形容詞%F2@-1"	*
いふ	動詞	一般	*	*	文語四段-ハ行	連体形-一般	イウ	言う	いふ	イウ	イフ	和	いふ	イウ	イフ	イウ	*	*	*	*	*	*	0	C2	*
少年	名詞	普通名詞	一般	*	*	*	ショウネン	少年	少年	ショーネン	ショウネン	漢	少年	ショーネン	ショウネン	ショウネン	*	*	*	*	*	*	0	C2	*
士官	名詞	普通名詞	一般	*	*	*	シカン	士官	士官	シカン	シカン	漢	士官	シカン	シカン	シカン	*	*	*	*	*	*	"1	2"	C1	*
、	補助記号	読点	*	*	*	*		、	、			記号	、				*	*	*	*	*	*	*	*	*
口	名詞	普通名詞	一般	*	*	*	クチ	口	口	クチ	クチ	和	口	クチ	クチ	クチ	ク濁	基本形	*	*	*	B1WS2WB3WB4WB6S8SjShS	0	C3	*
に	助詞	格助詞	*	*	*	*	ニ	に	に	ニ	ニ	和	に	ニ	ニ	ニ	*	*	*	*	*	*	*	名詞%F1	*
啣	動詞	一般	*	*	文語下二段-ハ行	連用形-一般	クワエル	銜える	啣	クワエ	クハヘ	和	啣ふ	クワウ	クハフ	クワウ	*	*	*	*	*	*	2	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
くわ	感動詞	一般	*	*	*	*	クワ	くわ	くわ	クワ	クワ	和	くわ	クワ	クワ	クワ	*	*	*	*	*	*	2	*	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
へ	助詞	格助詞	*	*	*	*	ヘ	へ	へ	エ	ヘ	和	へ	エ	ヘ	ヘ	*	*	*	*	*	*	*	名詞%F1	*
し	動詞	非自立可能	*	*	文語サ行変格	連用形-一般	スル	為る	し	シ	シ	和	す	ス	ス	ス	*	*	*	*	*	*	1	C4	*
巻	名詞	普通名詞	助数詞可能	*	*	*	マキ	巻	巻	マキ	マキ	和	巻	マキ	マキ	マキ	*	*	*	*	*	*	1	C1	*
烟草	名詞	普通名詞	一般	*	*	*	タバコ	タバコ-tabaco	烟草	タバコ	タバコ	外	烟草	タバコ	タバコ	タバコ	*	*	*	*	*	*	0	C2	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
まき	名詞	普通名詞	一般	*	*	*	マキ	まき	まき	マキ	マキ	和	まき	マキ	マキ	マキ	*	*	*	*	*	*	1	C3	*
タバコ	名詞	普通名詞	一般	*	*	*	タバコ	タバコ-tabaco	タバコ	タバコ	タバコ	外	タバコ	タバコ	タバコ	タバコ	*	*	*	*	*	*	0	C2	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
取り	動詞	一般	*	*	文語四段-ラ行	連用形-一般	トル	取る	取り	トリ	トリ	和	取る	トル	トル	トル	ト濁	基本形	*	*	*	*	1	C1	*
て	助詞	接続助詞	*	*	*	*	テ	て	て	テ	テ	和	て	テ	テ	テ	*	*	*	*	*	*	*	"動詞%F1	形容詞%F2@-1"	*
火鉢	名詞	普通名詞	一般	*	*	*	ヒバチ	火鉢	火鉢	ヒバチ	ヒバチ	混	火鉢	ヒバチ	ヒバチ	ヒバチ	*	*	*	*	*	*	1	C1	*
《	補助記号	括弧開	*	*	*	*		《	《			記号	《				*	*	*	*	*	*	*	*	*
ひ	名詞	普通名詞	一般	*	*	*	ヒ	碑	ひ	ヒ	ヒ	漢	ひ	ヒ	ヒ	ヒ	*	*	*	*	*	*	0	C3	*
ばち	名詞	数詞	*	*	*	*	ハチ	八	ばち	バチ	バチ	漢	ばち	バチ	バチ	バチ	*	*	*	*	*	*	*	*	*
》	補助記号	括弧閉	*	*	*	*		》	》			記号	》				*	*	*	*	*	*	*	*	*
の	助詞	格助詞	*	*	*	*	ノ	の	の	ノ	ノ	和	の	ノ	ノ	ノ	*	*	*	*	*	*	*	名詞%F1	*
中	名詞	普通名詞	副詞可能	*	*	*	ナカ	中	中	ナカ	ナカ	和	中	ナカ	ナカ	ナカ	*	*	*	*	*	*	1	C4	*
へ	助詞	格助詞	*	*	*	*	ヘ	へ	へ	エ	ヘ	和	へ	エ	ヘ	ヘ	*	*	*	*	*	*	*	名詞%F1	*
灰	名詞	普通名詞	一般	*	*	*	ハイ	灰	灰	ハイ	ハイ	和	灰	ハイ	ハイ	ハイ	ハ濁	基本形	*	*	*	*	0	C3	*
